2.68;1341.996;86558.74;64500;64500;64500;ЛОБНЯ;Балка сварная Ст09Г2С;30К3;;Скидка;30К3;12;
30.19;5.502;439.06;64800;64500;64200;УГЛИ;Арматура А500С;12мм.;(6м);ГОСТ 34028-2016;Арматура;6;
64.27;5.586;401.07;64800;64500;64200;ТВЕРЬ;Арматура А500С;12мм.;(6м);ГОСТ 34028-2016;Арматура;6;
0.02;5.328;398.53;64800;64500;64200;РЯЗАНЬ;Арматура А500С;12мм.;(6м);ГОСТ 34028-2016;Арматура;6;
68.52;5.328;401.73;65400;65100;64800;ПИТЕР_ФОРНОСОВО;Арматура А500С;12мм.;(6м);ГОСТ 34028-2016;Арматура;6;
68.82;5.596;418.60;64800;64500;64200;ПЕНЗА;Арматура А500С;12мм.;(6м);ГОСТ 34028-2016;Арматура;6.05;
42.69;5.502;411.55;64800;64500;64200;ОРЕЛ;Арматура А500С;12мм.;(6м);ГОСТ 34028-2016;Арматура;6;
79.86;5.450;407.65;64800;64500;64200;ЛОБНЯ;Арматура А500С;12мм.;(6м);ГОСТ 34028-2016;Арматура;6;
38.17;5.676;424.56;64800;64500;64200;ЛИПЕЦК;Арматура А500С;12мм.;(6м);ГОСТ 34028-2016;Арматура;6;
38.20;5.628;404.09;64800;64500;64200;КУРСК;Арматура А500С;12мм.;(6м);ГОСТ 34028-2016;Арматура;6;
10.46;5.544;414.69;64800;64500;64200;КАЛУГА;Арматура А500С;12мм.;(6м);ГОСТ 34028-2016;Арматура;6;
0.01;5.820;435.34;64800;64500;64200;КАЗАНЬ;Арматура А500С;12мм.;(6м);ГОСТ 34028-2016;Арматура;6;
0.01;5.538;414.24;64800;64500;64200;ВОРОНЕЖ;Арматура А500С;12мм.;(6м);ГОСТ 34028-2016;Арматура;6;
0.00;5.328;345.25;64800;64500;64200;ВОЛОГДА;Арматура А500С;12мм.;(6м);ГОСТ 34028-2016;Арматура;6;
38.68;5.328;382.55;64800;64500;64200;ВОЛГОГРАД;Арматура А500С;12мм.;(6м);ГОСТ 34028-2016;Арматура;6;
56.25;5.522;413.03;64800;64500;64200;ВЛАДИМИР;Арматура А500С;12мм.;(6м);ГОСТ 34028-2016;Арматура;6;
51.13;5.640;421.87;64800;64500;64200;БЕЛГОРОД_КРЕЙДА;Арматура А500С;12мм.;(6м);ГОСТ 34028-2016;Арматура;6;
19.25;11.004;840.71;66400;66100;65800;ПЯТИГОРСК;Арматура А500С;12мм.;(12м);ГОСТ 34028-2016;Арматура;12;
158.80;11.400;825.36;67400;67100;66800;НАЛЬЧИК;Арматура А500С;12мм.;(12м);ГОСТ 34028-2016;Арматура;12;
431.47;11.256;871.21;67400;67100;66800;ВЛАДИКАВКАЗ;Арматура А500С;12мм.;(12м);ГОСТ 34028-2016;Арматура;12;
306.69;10.659;761.03;64400;64100;63800;ЯРОСЛАВЛЬ;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
6.53;14.157;1030.63;65800;65500;65200;НОВОЧЕРКАССК;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
22.32;14.485;1068.96;63800;63500;63200;НИЖНИЙ;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
8.58;14.929;1071.92;66800;66500;66200;НАЛЬЧИК;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
187.60;14.500;1041.09;66800;66500;66200;МАХАЧКАЛА;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
13.22;14.317;1056.62;63800;63500;63200;ЛОБНЯ;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
106.29;14.496;1069.83;63800;63500;63200;ЛИПЕЦК;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
81.65;14.590;1032.96;63800;63500;63200;КУРСК;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
99.98;14.040;895.75;63800;63500;63200;КИРОВ;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
57.06;14.648;1081.05;63800;63500;63200;КАЛУГА;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
45.14;14.157;938.61;63800;63500;63200;ИЖЕВСК;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
99.50;14.157;1044.79;63800;63500;63200;ВОРОНЕЖ;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
18.61;14.496;924.86;63800;63500;63200;ВОЛОГДА;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
6.24;14.590;1032.96;63800;63500;63200;ВОЛГОГРАД;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
42.25;14.356;1059.47;63800;63500;63200;ВЛАДИМИР;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
98.93;14.157;1087.26;66800;66500;66200;ВЛАДИКАВКАЗ;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
26.10;14.648;1081.05;63800;63500;63200;БРЯНСК;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
54.86;14.719;1086.23;63800;63500;63200;БЕЛГОРОД_КРЕЙДА;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
0.60;7.566;491.78;55000;55000;55000;БЕЛГОРОД_КРЕЙДА;Арматура А500С;12мм.;НД;;Арматура;8.52;
60.77;5.513;395.82;64800;64500;64200;ЯРОСЛАВЛЬ;Арматура А500С;12мм.;(6м);ГОСТ 34028-2016;Арматура;6;
46.33;5.545;414.78;64800;64500;64200;ЧЕХОВ;Арматура А500С;12мм.;(6м);ГОСТ 34028-2016;Арматура;6;
135.18;5.622;420.53;64800;64500;64200;УЛЬЯНОВСК;Арматура А500С;12мм.;(6м);ГОСТ 34028-2016;Арматура;6;
40.41;10.834;806.06;64400;64100;63800;НИЖНИЙ;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
85.20;11.021;797.95;67400;67100;66800;НАЛЬЧИК;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
58.26;10.500;760.17;67400;67100;66800;МАХАЧКАЛА;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
447.94;10.545;784.56;64400;64100;63800;ЛОБНЯ;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
399.10;10.483;779.95;64400;64100;63800;ЛИПЕЦК;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
55.28;10.729;690.94;64400;64100;63800;КИРОВ;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
210.06;10.729;798.23;64400;64100;63800;КАЛУГА;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
308.49;11.115;826.96;64400;64100;63800;КАЗАНЬ;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
192.92;10.390;695.06;64400;64100;63800;ИЖЕВСК;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
261.46;10.717;797.36;64400;64100;63800;ВОРОНЕЖ;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
129.57;10.799;695.46;64400;64100;63800;ВОЛОГДА;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
276.04;10.822;772.73;64400;64100;63800;ВОЛГОГРАД;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
412.32;10.752;799.97;64400;64100;63800;ВЛАДИМИР;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
220.26;10.846;806.93;64400;64100;63800;БРЯНСК;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
3.59;1790.000;117065.98;65400;65100;64800;УГЛИ;Арматура А500С;10мм.;бухта_БМЗ;ГОСТ 34028-2016;Арматура;2901.134;
21.43;1807.999;118243.16;65400;65100;64800;ЛОБНЯ;Арматура А500С;10мм.;бухта_БМЗ;ГОСТ 34028-2016;Арматура;2930.307;
5.35;1785.598;116778.11;65400;65100;64800;КАЛУГА;Арматура А500С;10мм.;бухта_БМЗ;ГОСТ 34028-2016;Арматура;2894;
14.26;1798.000;117589.18;65400;65100;64800;ВОРОНЕЖ;Арматура А500С;10мм.;бухта_БМЗ;ГОСТ 34028-2016;Арматура;2914.1;
23.15;1795.999;117458.36;65400;65100;64800;БЕЛГОРОД_КРЕЙДА;Арматура А500С;10мм.;бухта_БМЗ;ГОСТ 34028-2016;Арматура;2910.858;
12.44;2097.183;137994.64;65800;65500;65200;ВЛАДИКАВКАЗ;Арматура А500С;10мм.;бухта_АЭМЗ;ГОСТ 34028-2016;Арматура;3399;
172.02;10.840;806.50;64400;64100;63800;ЧЕХОВ;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
54.55;10.296;735.13;64400;64100;63800;ЧЕРЕПОВЕЦ;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
248.19;10.682;687.93;64400;64100;63800;ЧЕЛНЫ;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
55.14;10.764;768.55;64400;64100;63800;ЧЕБОКСАРЫ;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
86.93;10.881;776.90;64400;64100;63800;УФА;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
277.16;10.670;793.88;64400;64100;63800;УЛЬЯНОВСК;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
481.25;10.869;863.02;64400;64100;63800;УГЛИ;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
141.01;10.846;806.93;64400;64100;63800;ТУЛА_ПЛЕХАНОВО;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
507.04;10.390;793.77;66400;66100;65800;ТИТАРОВКА;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
485.40;10.565;754.35;64400;64100;63800;ТВЕРЬ;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
19.46;10.530;751.84;64400;64100;63800;СЫЗРАНЬ;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
252.10;10.717;743.77;64400;64100;63800;СТАРЫЙ ОСКОЛ;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
427.52;11.068;845.61;66400;66100;65800;СТАВРОПОЛЬ;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
224.02;10.963;815.62;64400;64100;63800;САРАТОВ;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.75;
146.84;10.881;809.55;64400;64100;63800;САРАНСК;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
88.13;10.764;800.84;64400;64100;63800;САМАРА;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
165.14;10.390;845.71;66400;66100;65800;РОСТОВ;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
386.92;10.390;793.77;66400;66100;65800;ПЯТИГОРСК;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
248.70;10.928;813.03;64400;64100;63800;ПЕНЗА;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
147.67;10.635;791.27;64400;64100;63800;ОРЕЛ;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
22.87;10.390;762.60;66400;66100;65800;НОВОЧЕРКАССК;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
57.11;18.900;1338.13;63800;63500;63200;ЧЕХОВ;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
82.42;18.486;1179.41;63800;63500;63200;ЧЕЛНЫ;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
4.12;18.802;1293.57;63800;63500;63200;ЧЕБОКСАРЫ;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
42.29;18.802;1293.57;63800;63500;63200;УФА;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
179.42;18.837;1333.66;63800;63500;63200;УЛЬЯНОВСК;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
261.15;18.954;1398.81;63800;63500;63200;УГЛИ;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
49.57;18.884;1336.97;63800;63500;63200;ТУЛА_ПЛЕХАНОВО;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
215.19;18.486;1345.78;65800;65500;65200;ТИТАРОВКА;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
113.16;18.802;1293.57;63800;63500;63200;ТВЕРЬ;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
0.32;18.603;1279.89;63800;63500;63200;СЫЗРАНЬ;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
59.58;18.931;1283.49;63800;63500;63200;СТАРЫЙ ОСКОЛ;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
207.03;18.884;1374.74;65800;65500;65200;СТАВРОПОЛЬ;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
102.48;19.035;1347.68;63800;63500;63200;САРАТОВ;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.75;
17.37;18.954;1341.94;63800;63500;63200;САРАНСК;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
52.31;18.615;1317.92;63800;63500;63200;САМАРА;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
35.04;18.486;1308.81;63800;63500;63200;РЯЗАНЬ;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
80.52;18.486;1401.24;65800;65500;65200;РОСТОВ;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
133.20;19.024;1384.96;65800;65500;65200;ПЯТИГОРСК;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
47.91;19.165;1356.85;63800;63500;63200;ПИТЕР_ФОРНОСОВО;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
129.65;18.486;1308.81;63800;63500;63200;ПЕНЗА;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
41.01;24.336;1722.99;66800;66500;66200;НАЛЬЧИК;Арматура А500С;18мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
222.25;23.774;1683.23;66800;66500;66200;МАХАЧКАЛА;Арматура А500С;18мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
108.88;24.166;1710.97;63800;63500;63200;ЛОБНЯ;Арматура А500С;18мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
130.82;23.517;1665.00;63800;63500;63200;ЛИПЕЦК;Арматура А500С;18мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
89.33;23.821;1638.90;63800;63500;63200;КУРСК;Арматура А500С;18мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
66.16;23.634;1673.29;63800;63500;63200;КАЛУГА;Арматура А500С;18мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
167.24;23.435;1659.21;63800;63500;63200;КАЗАНЬ;Арматура А500С;18мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
7.04;23.400;1539.72;63800;63500;63200;ИЖЕВСК;Арматура А500С;18мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
102.14;23.599;1670.80;63800;63500;63200;ВОРОНЕЖ;Арматура А500С;18мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
