0.74;742.001;32054.43;42500;42500;42500;ЛОБНЯ;Сварная Балка Ст3;25К1;(12м+нд);СТО АСЧМ 20-93;25К1;12;
2.68;1341.996;86558.74;64500;64500;64500;ЛОБНЯ;Балка сварная Ст09Г2С;30К3;;Скидка;30К3;12;
132.22;14.613;1063.85;62800;62500;62200;БЕЛГОРОД_КРЕЙДА;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
63.02;5.513;390.31;63800;63500;63200;ЯРОСЛАВЛЬ;Арматура А500С;12мм.;(6м);ГОСТ 34028-2016;Арматура;6;
68.65;5.400;398.52;63800;63500;63200;ЧЕХОВ;Арматура А500С;12мм.;(6м);ГОСТ 34028-2016;Арматура;6;
0.02;5.622;414.90;63800;63500;63200;УЛЬЯНОВСК;Арматура А500С;12мм.;(6м);ГОСТ 34028-2016;Арматура;6;
29.64;5.352;421.74;63800;63500;63200;УГЛИ;Арматура А500С;12мм.;(6м);ГОСТ 34028-2016;Арматура;6;
69.57;5.586;395.49;63800;63500;63200;ТВЕРЬ;Арматура А500С;12мм.;(6м);ГОСТ 34028-2016;Арматура;6;
0.02;5.328;393.21;63800;63500;63200;РЯЗАНЬ;Арматура А500С;12мм.;(6м);ГОСТ 34028-2016;Арматура;6;
68.52;5.328;396.40;64400;64100;63800;ПИТЕР_ФОРНОСОВО;Арматура А500С;12мм.;(6м);ГОСТ 34028-2016;Арматура;6;
68.25;5.502;406.05;63800;63500;63200;ОРЕЛ;Арматура А500С;12мм.;(6м);ГОСТ 34028-2016;Арматура;6;
31.45;5.598;413.13;63800;63500;63200;ЛОБНЯ;Арматура А500С;12мм.;(6м);ГОСТ 34028-2016;Арматура;6;
63.79;5.676;418.89;63800;63500;63200;ЛИПЕЦК;Арматура А500С;12мм.;(6м);ГОСТ 34028-2016;Арматура;6;
68.23;5.628;398.46;63800;63500;63200;КУРСК;Арматура А500С;12мм.;(6м);ГОСТ 34028-2016;Арматура;6;
30.65;5.544;409.15;63800;63500;63200;КАЛУГА;Арматура А500С;12мм.;(6м);ГОСТ 34028-2016;Арматура;6;
0.01;5.820;429.52;63800;63500;63200;КАЗАНЬ;Арматура А500С;12мм.;(6м);ГОСТ 34028-2016;Арматура;6;
0.01;5.538;408.70;63800;63500;63200;ВОРОНЕЖ;Арматура А500С;12мм.;(6м);ГОСТ 34028-2016;Арматура;6;
0.00;5.328;339.93;63800;63500;63200;ВОЛОГДА;Арматура А500С;12мм.;(6м);ГОСТ 34028-2016;Арматура;6;
64.31;5.522;407.51;63800;63500;63200;ВЛАДИМИР;Арматура А500С;12мм.;(6м);ГОСТ 34028-2016;Арматура;6;
63.74;5.550;409.59;63800;63500;63200;БЕЛГОРОД_КРЕЙДА;Арматура А500С;12мм.;(6м);ГОСТ 34028-2016;Арматура;6;
38.14;11.004;818.70;64400;64100;63800;ПЯТИГОРСК;Арматура А500С;12мм.;(12м);ГОСТ 34028-2016;Арматура;12;
409.76;11.400;802.56;65400;65100;64800;НАЛЬЧИК;Арматура А500С;12мм.;(12м);ГОСТ 34028-2016;Арматура;12;
29.27;14.742;1073.22;62800;62500;62200;САМАРА;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
13.84;14.722;1071.77;62800;62500;62200;РЯЗАНЬ;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
30.30;14.157;1115.57;63800;63500;63200;РОСТОВ;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
3.45;14.473;1053.63;62800;62500;62200;ПИТЕР_ФОРНОСОВО;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
74.99;14.391;1047.66;62800;62500;62200;ПЕНЗА;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
88.74;14.683;1068.96;62800;62500;62200;ОРЕЛ;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
9.83;14.157;1002.32;63800;63500;63200;НОВОЧЕРКАССК;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
25.11;14.485;1054.48;62800;62500;62200;НИЖНИЙ ОКСКАЯ;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
67.71;14.929;1042.06;64800;64500;64200;НАЛЬЧИК;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
326.39;14.500;1012.09;64800;64500;64200;МАХАЧКАЛА;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
